durofel,color,max_brix,Variety
71.85,3.138,19,5
79.51,3.32,21.8,13
74.78,2.669,20,5
72.3,2.861,19.8,13
76.6,2.985,20,11
73.8,2.813,22.6,13
73.95,2.884,22,5
77.97,2.889,22,13
76.88,3.266,18,5
77.83,3.125,20,5
76.26,2.71,20,5
75.48,3.162,21,5
76.75,2.87,20,5
78.7,3.407,18.8,13
71.43,4.44,20,2
76.53,3.422,18.4,13
78.42,2.747,20,5
78.5,2.833,20,13
79.72,2.975,20,5
72.9,3.061,25.2,13
74.09,3.45,21.7,13
72.82,1.967,23,5
75.84,4.124,25.6,13
76.92,2.986,22.4,18
72.72,3.213,17.8,5
78.6,3.096,20,3
75.14,2.814,22.3,5
74.05,3.215,20,5
71.04,2.711,23.3,5
71.61,2.924,21,13
78,4.38,23,13
79.51,2.856,23,13
78.32,3.115,21.5,5
76.99,3.098,23,13
76.43,2.387,23,13
75.1,2.958,23,5
75.77,3.307,18,5
75.38,3.406,20.8,5
78.74,2.975,22.3,5
75.98,2.927,22,5
75.77,4.511,24.2,13
77.97,3.839,20.2,2
76.53,2.354,22.5,5
73.94,4.331,22.5,13
76.89,3.107,23,5
72.83,3.037,22.8,5
73.46,2.797,22.9,5
74.11,2.934,22.3,5
73.46,2.847,23,5
74.71,2.974,23,3
76.26,3.068,17.6,5
78.6,2.622,24,5
77.17,3.203,21.6,13
73.8,4.206,16.7,2
76.78,2.839,22.1,11
76.89,3,17.5,5
78.5,2.311,17.2,5
78.81,3.041,25.3,13
75.34,3.086,18.5,5
77.17,3.189,18.3,5
77.41,3.226,18.5,5
78.11,2.453,19.6,5
77.1,2.545,22,5
73.71,2.781,18,5
73.83,2.416,17.8,5
75.2,2.757,18,5
78.67,4.125,24.4,13
74.82,3.288,20.6,13
76.05,2.844,19,13
75.2,3.042,19.4,5
74.78,2.997,21.5,5
74.78,3.072,19.7,5
76.99,2.675,20,5
74.44,2.997,27,13
76.43,3.092,18.5,13
76.81,3.165,22.8,15
77.41,3.216,17.6,5
72.51,2.984,19,5
74.61,3.561,17.8,5
73.77,2.931,22.3,5
76.25,3.502,23,13
75.77,3.202,18.4,5
77.26,3.218,19.8,5
75.38,3.232,24.8,13
73.95,3.797,24.8,5
76.25,3.007,25,13
73.66,3.011,16.4,5
75.28,3.589,19.8,5
77.44,3.609,24.1,13
75.7,2.827,24.1,5
74.89,3.141,24.1,5
75.24,3.112,23.4,13
79.51,3.44,23.9,5
75.45,2.814,25.5,13
71.59,2.872,25.5,5
76.35,2.768,24.8,5
75.77,2.926,24.8,13
71.81,2.389,24.8,5
71.25,2.994,24.6,5
71.57,3.427,24.8,5
76.88,3.533,24.8,2
73.95,3.124,23,13
72.76,3.182,16.7,5
72.76,3.235,16.2,5
73.67,3.096,17.4,5
72.27,2.463,24.7,5
70.55,2.971,24.7,5
73.21,2.773,24.2,5
76.6,2.92,24.4,5
70.7,3.064,25,5
78.91,2.94,19.8,5
76.57,4.543,24.6,5
75.42,2.85,23.8,13
77.41,2.912,24,13
74.48,2.972,18.7,11
77.17,2.936,23.8,13
79.19,2.276,23.8,5
78.18,2.926,23.6,5
78.6,3.35,23.5,2
77.59,2.95,23.6,5
78.01,2.981,24.5,13
77.97,2.708,24.2,5
77.02,2.746,23.8,5
76.92,2.789,23.8,16
76.5,2.983,23.5,5
74.26,2.749,24.8,17
72.45,3.008,20.6,5
76.21,4.35,24.7,13
77.02,2.922,18.1,5
76.99,2.99,17.3,5
76.11,3.077,17.5,13
72.47,2.432,17.5,5
77.41,2.928,21.6,5
73.11,3.795,19.3,2
76.08,2.859,18.6,5
72.9,2.909,22,5
73.81,3.149,20,5
76.29,3.17,19.8,5
75.14,2.179,20,13
72.06,3.964,20.4,2
74.43,3.162,21,5
73.42,2.138,22.1,5
74.71,3.246,23,2
76.85,4.386,23.3,2
71.12,3.218,18.5,5
75.2,4.625,22,2
72.8,3.7,19.9,13
77.41,3.079,15.8,5
78.91,4.61,25.6,2
72.37,3.076,25.5,13
78.25,2.405,24.5,5
77.12,3.294,24.4,5
79.23,3.64,24.8,2
80,2.981,24.4,5
77.02,3.156,25.6,5
79.72,3.004,25.6,2
71.61,3.055,25.4,13
74.86,2.335,25.7,5
76.36,2.387,25.8,5
78.95,2.829,24.8,6
76.74,3.697,25.4,5
74.4,2.305,25.8,5
76.46,2.959,25.6,5
75.13,3.268,18.8,13
74.68,3.667,25.2,5
76.78,2.9,26.8,5
77.23,3.044,26.4,5
77.24,2.791,26.4,5
76.74,3.02,26.4,5
76.26,3.139,26.4,5
75.87,2.953,26.4,5
74.78,2.885,26.6,5
76.29,2.937,25.8,13
74.26,3.086,25.9,11
75.1,3.078,25.8,5
76.5,3.19,26.2,5
73.35,3.027,27,5
75.83,2.927,27,13
74.58,2.347,26.4,16
75.1,4.45,25.4,2
76.57,2.931,20,5
78.28,3.465,22.7,13
76.35,4.034,20,2
77.65,4.131,21.6,13
79.02,2.637,19.8,5
80,2.576,19.7,5
78.32,2.879,22.5,5
78.1,2.865,23.2,13
75.8,2.808,24.5,5
79.23,2.576,23,5
78.42,2.466,23,5
78.5,3.996,24,5
79.72,3.077,24.8,13
75.94,2.824,26,13
76.36,4.485,24.3,13
79.23,3.483,15.5,5
76.68,3.325,18.9,5
79.02,3.385,26,5
79.51,2.954,26,13
79.51,2.901,26,5
78.52,2.957,27,13
74.78,3.661,19.8,5
77.31,3.657,20.2,5
78.6,4.558,26.5,2
75.56,4.451,26.5,5
78.11,2.781,27,5
78.01,2.39,27,5
77.83,2.91,19,5
78.94,3.185,19,5
79.68,4.511,19,2
78.11,3.658,18.4,5
76.21,3.17,19,5
77.97,2.915,20,13
77.59,2.945,20,13
79.4,2.966,20,5
74.93,2.196,20,5
79.72,2.999,23.8,5
73.63,2.924,24.2,13
72.79,2.925,20,5
74.01,3.148,22.3,13
72.97,2.927,22.3,5
76.33,2.921,20,13
75.77,3.01,22.3,5
78.95,2.923,22.4,5
75.87,2.799,22.6,5
78.7,3.032,22.5,13
74.16,3.227,16.5,5
76.5,3.111,23.8,5
75.28,2.986,23.6,5
74.3,3.062,24.5,5
79.51,3.09,25.3,5
80,3.117,25.3,13
75,3.035,25.3,5
77.02,2.474,25.6,5
77.02,3.167,25.6,13
78.25,3.014,25.8,5
79.02,2.874,26.1,13
79.4,2.966,26.1,13
78.6,4.061,26.1,2
76.26,3.019,25.8,5
76.74,3.295,25.8,5
73.8,2.865,25.6,13
75.38,2.858,24.8,5
78.25,2.699,25.8,5
76.5,2.727,25.6,5
72.3,2.965,24.2,5
76.67,3.731,26.4,5
79.51,2.81,26.3,13
75.24,2.287,24.8,5
78.6,2.946,24.8,13
73.43,3.163,24.8,5
78.81,4.094,24.6,13
75.45,2.492,26.2,5
76.19,2.679,24,5
78.01,2.811,25.2,5
74.64,2.829,27.3,5
76.19,2.887,26.6,5
77.02,3.953,26.6,13
78.91,2.982,26.1,5
79.51,3.037,25.1,13
79.19,2.975,26.1,5
76.82,2.623,26.6,5
72.94,2.798,26.6,13
79.72,3.714,26.8,2
78,2.839,26.2,5
78.91,3.068,26.9,13
76.33,3.247,27.7,5
79.79,2.641,27.7,5
79.51,3.781,26.8,13
79.51,3.641,26.6,2
77.83,3.018,26.5,13
77.94,1.859,20,5
75.49,2.719,26.5,5
78.7,2.924,25.4,5
79.4,3.114,25.4,5
78.91,3.052,25.4,11
77.94,3.06,25.4,13
74.29,3.029,19,5
73.52,2.987,20,5
72.44,3.302,20,5
76.29,2.886,25.3,5
79.23,2.799,21.8,5
75.21,3.068,21.8,5
76.78,3.005,22.6,13
78.18,2.981,22.6,5
74.15,2.965,20,5
73.35,3.192,21.8,5
77.34,3.006,21.4,13
79.72,3.693,23.5,2
77.02,2.998,20,5
74.37,3.005,20,5
74.37,2.995,20,13
76.6,3.665,20,5
74.12,2.908,25.8,5
72.58,2.896,25.8,5
77.73,4.435,25.8,2
78.53,4.622,20.2,2
77.31,3.627,26.5,5
77.73,3.082,26.8,5
79.51,2.914,20,5
78.53,2.887,20,5
77.69,3.076,27.5,13
79.02,4.066,26.8,2
75.94,3.611,28.6,5
74.92,3.212,26,5
74.09,4.774,24,5
74.72,3.097,28.6,13
76.35,3.997,28.6,5
74.78,3.056,28.8,5
72.72,3.671,28.8,13
73.6,3.115,28.8,5
72.3,3.752,28.9,5
79.51,3.199,29.9,2
67.71,3.466,28.2,13
71.12,3.026,28.9,13
72.37,2.944,28.8,13
4.234,1.49,28.4,5
70.02,2.455,28.9,5
76.08,3.545,24,2
71,3.267,28,5
76.54,3.156,28,2
72.41,2.799,28.9,5
79.19,3.046,29.6,5
71.49,3.412,27.6,13
70.48,2.924,27.2,13
71.57,1.961,27,5
72.2,2.943,17.5,5
72.37,2.823,28.6,5
74.86,3.081,28.9,5
78,3.653,27,5
75.35,3.51,28,13
74.09,2.921,28.9,13
73.35,2.429,29,5
71.81,2.223,28.9,5
71.32,3.542,28,5
77.73,3.894,28,13
77.93,2.996,26.8,5
73.11,3.507,27,15
77.06,4.609,24,2
78.52,3.183,27.4,5
74.85,3.302,27.8,2
78.99,3.124,27.8,5
74.86,3.413,27.8,13
74.71,3.128,28,13
70.28,3.114,27.2,5
77.65,3.744,27.8,5
76.29,3.06,27.8,5
80,2.953,27.6,5
76.78,3.996,28,11
77.83,3.456,28,5
74.51,3.126,26,5
76.4,4.475,28,13
74.68,2.802,16.1,5
75.77,3.07,19,5
76.81,3.043,18.5,5
78.91,2.948,21.2,13
74.72,2.998,18.2,5
68.59,4.598,20.8,13
75.2,2.981,19.6,5
74.72,3.036,19,5
79.4,3.476,22,2
73.25,2.906,18,13
77.93,3.077,22.7,5
76.96,2.989,22.8,13
74.92,2.957,22.8,5
72.75,3.016,23.4,5
77.59,3.179,23.7,16
79.51,3.714,22.8,5
78.5,3.207,23.4,2
79.92,4.461,22.4,2
79.02,2.208,23,18
76.68,3.277,21.6,13
78.42,1.968,23.5,18
79.02,3.001,23.5,5
74.86,3.122,23.7,5
75.42,3.362,23.8,13
77.1,3.299,23.7,5
76.26,3.854,23.4,2
75,2.837,23.8,5
78.08,2.772,24.8,13
76.11,3.018,24.8,2
76.78,2.623,22.8,5
78.11,2.981,26,13
77.59,3.113,27.3,5
76.08,2.982,27.3,5
79.23,2.967,27.3,5
79.02,3.148,27.3,16
78.5,4.51,27.3,2
78.6,2.944,27.3,18
76.74,2.971,27.3,5
76.82,2.978,27,5
76.82,4.577,27.6,2
76.29,3.142,27.3,13
76.82,2.951,27.5,13
72.89,3.031,28,5
71.08,3.656,26,5
69.17,2.326,28.1,13
73.73,2.754,28,10
72.82,2.121,26.8,13
73.8,3.603,27.5,2
75.63,2.967,28,5
73.43,4.504,27.6,13
76.75,2.926,27.5,18
74.16,2.911,25,5
74.26,3.583,27.6,13
69.32,2.777,27.6,5
73.95,4.742,28,2
71.6,3.926,26,15
77.76,3.512,22.4,13
76.92,4.271,27.6,2
75.63,4.767,27.5,2
77.76,2.68,26.5,5
69.64,2.984,27.8,13
74.96,4.142,26,11
77.69,3.677,27,13
72.86,3.089,26.5,5
76.5,3.187,25.8,13
73.81,3.066,28,5
75.31,4.231,20.2,2
75.87,2.968,26.4,18
72.06,4.686,26,5
75.41,4.247,27,5
72.72,3.395,17.4,13
6.351,1.652,26,5
79.01,2.932,25.8,5
70.65,4.258,26.8,5
75.9,3.235,18.6,5
71.67,3.111,20.1,5
69.11,4.666,26.6,13
70.14,3.245,19.6,15
79.02,2.782,26.2,13
77.59,1.815,26.1,5
77.83,3.077,25.4,5
73.49,2.782,26,18
69.64,3.021,28,5
75.84,3.403,26.3,13
74.65,3.611,26.2,2
79.51,4.324,19.4,2
79.51,3.084,18.5,18
78.7,3.149,18.4,18
79.02,3.04,19.1,5
78.6,4.447,22.4,13
77.27,3.018,21.2,18
72.9,3.046,18.9,5
76.6,3.028,22.6,5
79.02,3.141,19.6,5
70.77,3.024,19.2,10
74.29,2.963,19.6,5
73.03,3.047,19.4,5
78.49,3.061,21,5
76.99,2.696,20,18
76.81,2.609,25.2,5
78.42,4.64,25.6,13
77.23,3.147,24,5
75.55,3.242,24.2,2
76.74,3.103,25.3,13
78.01,3.091,24.2,5
78.43,3.111,24.8,18
74.75,3.488,25.8,5
78.46,2.947,25.1,18
76.11,3.046,25.4,5
74.75,2.513,25.6,5
78.5,3.856,25.8,13
78.11,3.809,25.6,16
70.77,4.882,25.6,13
76.15,2.974,25,18
71.91,3.123,25.6,13
76.53,3.062,25.6,18
67.15,3.232,25.6,13
76.68,2.681,26.4,13
77.76,3.174,27,5
76.54,3.021,27,13
75.97,3.106,26.8,5
74.26,4.738,26.8,2
71.15,3.119,27,5
75.24,3.73,26.8,13
73.18,2.852,26.8,5
74.19,3.12,27,13
71.63,3.138,25.6,18
70.13,2.994,26.8,10
77.09,2.916,26.4,18
67.63,4.286,26.8,5
74.71,4.476,26.4,2
69,3.82,25.5,13
76.99,2.943,26.6,18
76.82,3.013,26.8,18
74.86,3.101,27,5
71.84,4.419,26.8,2
78.49,2.987,27.2,15
71.68,3.915,27.2,2
76.29,2.874,26.8,18
75.17,2.825,27.2,5
75.83,4.424,27.2,2
79.02,2.966,27.2,18
73.67,4.111,26.8,5
74.23,3.942,26.8,2
78.32,3.008,26.8,5
76.85,2.847,26.8,18
76.36,4.139,27.3,13
72.55,3.04,27,5
79.43,2.867,26.4,15
75.63,3.802,27,13
78.11,4.457,27.3,13
80,4.576,27.3,13
76.08,4.432,26.5,5
77.51,4.226,26.5,16
74.96,2.72,19.6,5
76.11,2.999,19.8,18
76.82,3.589,20,5
76.53,2.954,20.8,2
74.86,3.967,20.6,2
79.3,2.503,24,18
78.32,1.943,20.9,18
78.11,4.226,25.6,13
78.01,3.154,22.4,2
78.74,2.991,22.6,5
79.09,1.978,24,18
74.29,3.164,26.1,13
79.23,3.325,20.6,5
76.08,3.223,22.3,15
79.72,3.051,23.8,13
77.2,3.128,22.3,18
72.37,4.248,25,5
74.09,4.766,25,2
71.46,3.082,25,5
73.18,2.988,26.8,5
75.2,3.136,26.8,13
75.52,3.062,27.5,10
78.25,2.997,26.8,13
72.13,3.108,26.6,18
75.52,3.584,27,18
71.89,3.714,25.8,13
68.13,3.952,24.4,13
73.36,3.572,26.4,15
73,2.717,27.9,5
71.85,4.634,28,13
75.2,4.705,27.8,2
69.18,2.93,28.4,13
70.84,4.029,28.8,5
70.97,3.648,28.9,5
77.93,3.083,28.5,15
68.22,4.869,29.8,2
68.83,4.571,28.9,15
70.27,3.175,29.8,13
68.91,3.105,29.8,5
72.02,3.155,28.8,13
73.7,2.914,30.6,18
74.4,2.934,28.8,5
78.42,4.235,29.2,18
67.49,3.055,27.9,13
69.58,3.097,30.3,5
71.68,4.216,30.2,11
74.96,3.142,29.8,13
72.68,3.143,25.8,5
72.9,3.02,28.8,5
79.51,2.907,28.8,18
74.54,4.15,29.5,15
74.51,2.955,27.7,5
73.53,3.36,29.7,2
72.72,4.516,29.7,5
73.81,3.186,29.7,5
72.48,2.823,27.5,5
70.48,4.81,28,2
77.94,3.173,20,18
74.65,3.95,19.6,5
75.2,2.969,22.1,13
76.57,2.926,19.6,5
75.48,2.341,18.7,5
73.87,2.937,19.6,18
73.35,2.063,19,18
75.56,3.058,21.1,5
73.03,2.86,25,15
75.69,2.9,20,18
75.91,3.198,20,5
74.85,4.136,23.4,15
77.24,2.99,21,5
73.7,4.501,25,2
79.48,2.006,23.1,18
75.49,3.454,23.1,13
76.82,4.477,23.1,2
76.21,2.245,21.8,18
70.48,3.024,22.4,13
74.4,2.937,22.6,18
71.47,4.645,24.4,2
75.45,4.32,23.4,15
74.64,3.397,25.2,13
72.03,2.037,22.8,5
74.12,2.031,23.2,5
78.11,3.35,24.4,13
74.85,2.846,23.6,5
75.38,3.99,24.4,2
74.26,3.237,24.4,5
76.18,3.89,23.5,18
75.76,3.238,23.8,5
76.67,3.034,24.2,18
75.84,3.119,25.2,5
76.26,3.008,25.6,15
73.24,3.587,25,5
73.32,3.316,23,2
74.51,2.998,25.7,5
72.52,2.938,24.4,5
78.52,3.104,26.2,18
74.75,3.232,25.4,5
76.26,3.087,24.4,18
73.91,3.389,24.4,5
67.85,3.944,25.2,15
73.18,4.784,25.2,15
78.7,1.995,26.6,18
72.41,4.63,25.2,13
74.09,3.109,25.8,13
72.41,4.83,25.2,2
75,2.008,25.2,5
78.42,2.976,25.4,18
67.72,2.765,25.4,13
79.09,3.814,25,13
76.25,2.978,26,15
74.02,3.025,26.1,15
77.2,3.299,25.5,18
73.07,2.929,26.1,13
76.15,3.499,26.1,5
73.77,3.115,26.1,15
76.95,2.989,24.6,18
79.02,3.71,22.5,15
78.5,3.732,18.9,2
74.16,3.529,21,5
80,2.98,19.5,18
77.27,4.712,22.7,15
71.61,2.98,24.4,5
77.23,3.982,24.5,15
79.72,3.025,25,18
77.83,3.022,25,13
77.34,3.041,25,5
78,3.337,24.6,11
78.94,3.009,24.5,16
72.23,2.913,25.3,13
77.34,2.94,24,5
76.92,3.032,24,5
71.28,4.844,27,13
76.19,3.575,24,5
73.25,3.026,27,5
69.11,4.258,27.5,15
75.14,3.668,27,5
76.82,4.484,27,5
75.98,4.513,27,15
79.92,4.601,27,18
79.72,3.312,28,18
78.81,2.948,19.9,18
77.69,4.224,21.6,15
79.72,2.808,23.4,18
77.94,2.981,23.4,5
76.81,2.99,24.4,18
79.55,3.503,21.6,18
77.83,2.974,23.4,5
78.53,4.09,23.2,15
77.27,2.97,25.2,18
77.06,3.036,24,2
78.95,2.885,24,18
77.09,4.64,24,18
79.68,3.036,27.6,16
74.25,3.16,27.5,5
79.51,3.079,27.5,18
78.7,3.881,26.4,18
75.17,4.572,26.2,2
70.55,4.397,26.8,15
75.49,3.008,28.8,5
75.35,4.61,28.9,18
74.82,3.091,28.4,18
77.23,4.865,29.5,15
77.93,3.107,30.8,18
77.93,3.047,28.8,5
77.41,4.436,28.9,18
75.28,3.625,30.9,15
73.95,4.828,31.1,5
77.45,4.01,30.7,15
75.87,3.019,30.2,15
77.31,2.964,29.2,5
77.83,3.009,29.8,5
75.24,4.676,30.2,5
74.37,2.998,31.4,18
75.76,4.067,31.4,15
73.81,3.86,30.8,5
72.26,4.376,28.6,5
80,4.532,17.5,15
78.53,4.82,17.3,18
77.34,3.228,18.3,18
78.32,3.873,19.2,18
79.72,3.169,18.8,18
78.01,3.785,24.9,15
79.02,3.833,18.6,15
79.02,4.488,28,15
76.92,4.412,20.1,5
76.85,4.256,23.5,15
78.53,4.811,23.6,15
76.74,3.765,22,18
79.23,4.448,25.5,18
74.05,4.325,22.9,15
73.63,4.835,25.6,15
73.87,3.096,25.4,15
77.93,3.683,25.8,15
78.52,4.544,26.2,15
76.88,4.775,26.2,15
79.51,4.499,27.2,15
77.93,3.155,27.6,18
74.19,3.208,18.1,18
74.3,3.012,27.6,18
77.93,4.619,28,15
78.5,4.535,27.6,18
72.87,3.032,28.2,5
77.65,3.71,28.2,5
76.82,4.535,27.9,15
79.43,4.406,28.6,15
79.51,2.86,28.8,18
76.25,4.652,28.2,13
77.45,2.823,28.2,5
78.5,3.278,28.8,5
77.48,4.43,28.6,15
80,4.288,28.6,15
77.31,2.995,29,15
78.25,3.514,29,18
78.6,4.796,20.1,15
79.23,4.667,23.8,15
77.09,2.998,19.5,15
79.51,2.987,18.3,15
76.74,3.043,22.2,15
75.42,3.063,16.5,5
75.48,2.993,19.6,15
76.36,2.183,18.2,15
80,3.121,19.4,18
79.48,2.135,26.1,18
77.83,4.706,22,18
78.32,3.002,20,5
79.23,3.019,22,15
78.25,4.655,21.4,18
79.02,2.997,21.8,18
78.32,3.124,21.6,5
77.59,4.556,23.6,5
77.34,4.574,23.6,5
76.78,4.433,22.3,15
76.88,3.641,23.1,15
78.91,2.795,24.7,15
79.02,4.829,26.3,15
77.59,4.532,24.8,15
73.03,4.823,24.8,5
77.41,4.595,25.4,15
79.02,3.804,25.4,15
77.59,4.514,27.8,15
78.52,3.046,25,5
72.89,3.902,26,18
79.72,4.455,26,15
78.01,4.301,26.6,5
78.99,4.544,26.6,15
78.32,3.6,24.8,5
77.41,3.56,24.8,5
79.51,3.077,26.3,5
79.19,4.574,26.8,18
79.4,4.086,27,15
78.6,3.025,27,18
78.81,4.286,25.4,18
78.91,4.64,27.6,18
78.18,3.704,27.8,5
75.28,4.426,27.8,13
79.02,3.723,27.6,15
78.07,4.68,26,15
78.1,2.3,26,18
76.33,3.103,27.2,5
78.42,3.119,27.3,5
78.25,4.73,26,15
77.06,3.467,26,18
75.83,4.457,20.4,15
75.77,4.379,18.8,15
79.51,4.217,20.8,15
77.76,4.28,20.8,15
77.17,4.415,21,15
79.12,3.62,21.3,5
73.38,4.001,22,5
73.45,3.905,22,5
78.32,3.911,24.8,15
77.65,4.7,22.5,15
79.23,4.445,25.2,15
74.92,3.777,25,15
78.01,3.79,26.6,15
76.74,4.184,25.6,15
72.72,4.304,25,5
74.5,4.322,25,5
74.92,4.472,26.6,5
73.63,4.345,26.8,5
76.92,3.643,26.8,5
75.59,4.302,27.2,5
76.6,2.949,27.8,15
78.53,4.049,27.6,15
71.67,4.175,26.4,5
71.46,4.16,26.4,5
75.14,3.685,28.4,15
77.34,4.547,27.6,15
76.74,4.292,28.4,15
73.03,2.934,27.6,15
77.51,2.519,27.6,18
75.03,4.07,28.8,15
77.2,3.602,27.7,5
78.01,3.685,27.8,13
79.51,4.487,28.6,18
73.81,4.088,27.8,5
75.27,4.142,27.8,5
77.69,4.286,28.8,5
73.42,4.598,28.8,5
77.31,4.562,18,15
78.53,3.908,20.9,5
77.02,4.498,22,15
79.02,3.494,22,15
75.91,4.538,24.8,15
76.25,2.936,23,15
77.76,3.542,23,5
77.1,3.537,23,5
73.98,4.162,22.6,15
79.23,4.538,23.6,18
78.5,4.622,23.6,18
76.5,3.845,23.3,15
77.83,4.127,23.4,15
78.25,4.475,22.4,18
78.94,4.437,24.1,15
75.14,4.758,24.2,15
79.23,4.46,25.2,13
78.32,3.094,25.2,18
78.74,2.883,25,15
77.83,4.04,24.8,5
76.85,3.965,24.8,5
78.11,3.905,25.2,18
77.73,4.685,25,18
76.74,3.842,22.5,15
79.51,3.837,19.1,18
76.82,4.331,25.3,15
77.07,3.269,20.2,15
78.01,3.264,20,15
78.99,3.645,18.4,18
75.21,4.738,19.8,15
78.25,3.074,20.2,15
77.93,3.082,23.6,15
76.82,4.173,22.4,15
76.78,4.376,26,15
77.97,3.229,22,18
77.37,3.269,22,18
76.85,4.13,23,15
78.46,3.532,23,18
76.21,4.102,23,5
77.73,3.592,23,18
77.65,3.549,23,18
77.23,4.472,22,15
79.4,4.25,19.8,15
78.01,4.214,20.5,18
78.5,4.25,20.5,18
78.7,4.646,20.5,15
78.6,4.625,23.2,15
79.51,2.69,23,15
77.93,2.765,23,15
79.02,3.271,23,15
75.28,4.46,23.6,15
76.85,3.341,23.4,18
77.24,4.526,23.8,15
76.46,3.32,23.4,18
78.5,4.508,23.8,15
74.86,4.181,23.6,5
78.6,4.313,25.2,15
77.83,3.746,24.8,15
76.19,4.187,25.8,15
77.45,4.13,24.8,15
76.64,3.855,28.4,15
77.73,4.601,28.2,15
78.99,4.203,28,18
77.76,4.043,28,18
74.68,4.523,28.8,5
78.74,4.445,29.2,15
78.35,4.43,29.2,15
77.27,4.709,24.5,15
77.73,4.514,24.9,15
79.51,4.655,18.6,15
76.92,4.472,164,15
78.74,2.858,19.4,18
79.23,3.281,19.7,18
79.51,4.57,22.3,15
79.51,4.619,22.5,15
78.5,2.902,22,18
79.72,2.921,22,18
79.72,4.484,24.2,15
79.72,4.447,24.5,15
78.91,4.858,24.4,15
79.23,4.826,24.4,15
79.72,4.259,23.2,15
80,4.808,24.8,15
76.82,4.232,25.4,15
76.29,3.996,25.6,15
77.53,4.169,26.8,15
76.82,4.298,24.8,15
78,4.277,24.8,15
78.28,4.109,24.8,18
79.51,4.214,24.8,18
